date	fed-o	fed	type	level	status	comment
1618946731	0	0	5	9	0	Federate "GEM5_NODE1" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 3. Socket 13 - OK
1618946731	7	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618946731	7	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618946731	7	1	35	7	0	Publish Interaction Class = 4 - OK
1618946731	1	3	35	7	0	Publish Interaction Class = 3 - OK
1618946731	1	3	39	7	0	Subscribe Interaction Class = 4 - OK
1618946731	1	3	9	8	0	ON at time 0.000000 - OK
1618946731	1	3	8	8	0	ON at time 1.000000 - OK
1618946731	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE2, Handle : 9COSSIM_PROC_NET_NODE2 - Exception
1618946731	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE2"(7) with handle 2. Socket 11 - OK
1618946731	7	2	35	7	0	Publish Interaction Class = 3 - OK
1618946731	7	2	39	7	0	Subscribe Interaction Class = 4 - OK
1618946731	7	1	15	8	0	Label "Init" ended - OK
1618946731	7	2	15	8	0	Label "Init" ended - OK
1618946731	1	3	15	8	0	Label "Init" ended - OK
1618946731	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE3, Handle : 10 created - OK
1618946731	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE3"(10) with handle 1. Socket 15 - OK
1618946731	10	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618946731	10	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618946731	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 11GLOBAL_SYNCHRONIZATION - Exception
1618946731	10	1	35	7	0	Publish Interaction Class = 4 - OK
1618946731	0	0	5	9	0	Federate "GEM5_NODE2" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 4. Socket 16 - OK
1618946731	1	4	35	7	0	Publish Interaction Class = 3 - OK
1618946731	1	4	39	7	0	Subscribe Interaction Class = 4 - OK
1618946731	1	4	9	8	0	ON at time 0.000000 - OK
1618946731	1	4	8	8	0	ON at time 1.000000 - OK
1618946731	1	4	15	8	0	Label "Init" ended - OK
1618946732	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE3, Handle : 12COSSIM_PROC_NET_NODE3 - Exception
1618946732	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE3"(10) with handle 2. Socket 17 - OK
1618946732	10	2	35	7	0	Publish Interaction Class = 3 - OK
1618946732	10	2	39	7	0	Subscribe Interaction Class = 4 - OK
1618946732	10	2	15	8	0	Label "Init" ended - OK
1618946732	10	1	15	8	0	Label "Init" ended - OK
1618946732	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 13GLOBAL_SYNCHRONIZATION - Exception
1618946732	0	0	5	9	0	Federate "GEM5_NODE3" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 5. Socket 18 - OK
1618946732	1	5	35	7	0	Publish Interaction Class = 3 - OK
1618946732	1	5	39	7	0	Subscribe Interaction Class = 4 - OK
1618946732	1	5	9	8	0	ON at time 0.000000 - OK
1618946732	1	5	8	8	0	ON at time 1.000000 - OK
1618946732	1	5	15	8	0	Label "Init" ended - OK
1618946732	1	1	15	8	0	Label "Init" ended - OK
1618948562	10	1	7	9	0	Federate 1 resign federation(10) - OK
1618948562	0	0	1	9	0	Socket 15 - OK
1618948562	1	1	8	8	0	OFF - OK
1618948562	1	1	7	9	0	Federate 1 resign federation(1) - OK
1618948562	0	0	1	9	0	Socket 6 - OK
1618948562	2	1	7	9	0	Federate 1 resign federation(2) - OK
1618948562	4	1	7	9	0	Federate 1 resign federation(4) - OK
1618948562	7	1	7	9	0	Federate 1 resign federation(7) - OK
1618948562	0	0	1	9	0	Socket 7 - OK
1618948562	0	0	1	9	0	Socket 10 - OK
1618948562	0	0	1	9	0	Socket 14 - OK
1618948594	1	5	8	8	0	OFF - OK
1618948594	1	5	7	9	0	Federate 5 resign federation(1) - OK
1618948594	0	0	1	9	0	Socket 18 - OK
1618948594	1	3	8	8	0	OFF - OK
1618948594	1	3	7	9	0	Federate 3 resign federation(1) - OK
1618948594	0	0	1	9	0	Socket 13 - OK
1618948594	4	2	7	9	0	Federate 2 resign federation(4) - OK
1618948594	10	2	7	9	0	Federate 2 resign federation(10) - OK
1618948594	0	0	1	9	0	Socket 17 - OK
1618948594	1	4	8	8	0	OFF - OK
1618948594	1	4	7	9	0	Federate 4 resign federation(1) - OK
1618948594	0	0	1	9	0	Socket 12 - OK
1618948594	0	0	1	9	0	Socket 16 - OK
1618948594	7	2	7	9	0	Federate 2 resign federation(7) - OK
1618948594	0	0	1	9	0	Socket 11 - OK
1618948594	2	2	7	9	0	Federate 2 resign federation(2) - OK
1618948594	0	0	1	9	0	Socket 8 - OK
1618948594	1	2	8	8	0	OFF - OK
1618948594	1	2	7	9	0	Federate 2 resign federation(1) - OK
1618948594	0	0	1	9	0	Socket 9 - OK
